,Longitude,Latitude,Landmark
0,2.32872880000002,48.846361,French Alliance Paris Ile-De-France
1,2.28928229999997,48.8615963,Trocadéro Gardens
2,2.29448330000002,48.8583698,Eiffel Tower
3,2.34080219999998,48.8865032,Place du Tertre
4,2.34302279999997,48.8867061,The Basilica of the Sacred Heart of Paris
5,2.30037549999997,48.871669,Louis Vuitton Maison Champs Élysées
6,2.33047940000006,48.8738197,Galeries Lafayette
7,2.32779319999997,48.8739771,Printemps Haussmann
8,2.33176660000004,48.8719343,Palais Garnier
9,2.33764399999995,48.8606111,Louvre Museum
10,2.12035539999999,48.8048649,Palace of Versailles
11,2.30593739999995,48.8640106,Boat Trip (Bateaux-Mouches)
12,2.77580790000002,48.8722344,Disneyland Paris
13,2.35224500000004,48.860642,The Centre Pompidou
14,2.34990210000001,48.8529682,Cathédrale Notre-Dame de Paris
15,2.33716049999998,48.8462217,Luxembourg Gardens
16,2.34132520000003,48.85705,Pont Neuf
17,2.78401659999997,48.8534655,La Vallée Village
18,2.30731409999999,48.8657844,Champs-Élysées
19,2.32541660000004,48.8605007,Gare Musée d'Orsay
20,2.43646990000002,48.8423484,Sainte-Chapelle de Vincennes
21,2.32267239999999,48.8637884,Orangerie Museum
22,2.35880380000003,48.8587029,Le Marais
23,2.31578450000006,48.8553337,Musée Rodin
24,2.33332849999999,48.8537981,Saint-Germain-des-Prés
25,2.31053150000002,48.8754479,Musée Jacquemart-André
